millis,node,x,y,rssi,distance,target_x,target_y
8908,5,0,42.5,-75.4152,31.0501,15.7281,15.7281
9008,1,0,0,-70.8429,21.8178,15.4275,15.4275
9008,2,42.5,0,-75.4609,31.1597,15.4275,15.4275
9008,5,0,42.5,-75.4609,31.1597,15.4275,15.4275
9108,1,0,0,-70.5871,21.3928,15.127,15.127
9108,2,42.5,0,-75.5087,31.2747,15.127,15.127
9108,5,0,42.5,-75.5087,31.2747,15.127,15.127
9208,1,0,0,-70.3261,20.9678,14.8265,14.8265
9208,2,42.5,0,-75.5586,31.395,14.8265,14.8265
9208,5,0,42.5,-75.5586,31.395,14.8265,14.8265
9308,1,0,0,-70.0597,20.5428,14.526,14.526
9308,2,42.5,0,-75.6105,31.5206,14.526,14.526
9308,5,0,42.5,-75.6105,31.5206,14.526,14.526
9408,1,0,0,-69.7878,20.1178,14.2254,14.2254
9408,2,42.5,0,-75.6643,31.6514,14.2254,14.2254
9408,5,0,42.5,-75.6643,31.6514,14.2254,14.2254
9508,1,0,0,-69.5102,19.6928,13.9249,13.9249
9508,2,42.5,0,-75.7199,31.7874,13.9249,13.9249
9508,5,0,42.5,-75.7199,31.7874,13.9249,13.9249
9608,1,0,0,-69.2264,19.2678,13.6244,13.6244
9608,2,42.5,0,-75.7775,31.9284,13.6244,13.6244
9608,5,0,42.5,-75.7775,31.9284,13.6244,13.6244
9708,1,0,0,-68.9364,18.8428,13.3239,13.3239
9708,2,42.5,0,-75.8368,32.0745,13.3239,13.3239
9708,5,0,42.5,-75.8368,32.0745,13.3239,13.3239
9808,1,0,0,-68.6397,18.4178,13.0234,13.0234
9808,2,42.5,0,-75.8978,32.2255,13.0234,13.0234
9808,5,0,42.5,-75.8978,32.2255,13.0234,13.0234
9908,1,0,0,-68.3362,17.9928,12.7228,12.7228
9908,2,42.5,0,-75.9605,32.3813,12.7228,12.7228
9908,5,0,42.5,-75.9605,32.3813,12.7228,12.7228
10008,1,0,0,-68.0253,17.5678,12.4223,12.4223
10008,2,42.5,0,-76.0249,32.542,12.4223,12.4223
10008,5,0,42.5,-76.0249,32.542,12.4223,12.4223
10108,1,0,0,-67.7069,17.1428,12.1218,12.1218
10108,2,42.5,0,-76.0908,32.7074,12.1218,12.1218
10108,5,0,42.5,-76.0908,32.7074,12.1218,12.1218
10208,1,0,0,-67.3805,16.7178,11.8213,11.8213
10208,2,42.5,0,-76.1583,32.8774,11.8213,11.8213
10208,5,0,42.5,-76.1583,32.8774,11.8213,11.8213
10308,1,0,0,-67.0458,16.2928,11.5208,11.5208
10308,2,42.5,0,-76.2272,33.0521,11.5208,11.5208
10308,5,0,42.5,-76.2272,33.0521,11.5208,11.5208
10408,1,0,0,-66.7022,15.8678,11.2202,11.2202
10408,2,42.5,0,-76.2975,33.2313,11.2202,11.2202
10408,5,0,42.5,-76.2975,33.2313,11.2202,11.2202
10508,1,0,0,-66.3493,15.4428,10.9197,10.9197
10508,2,42.5,0,-76.3692,33.4149,10.9197,10.9197
10508,5,0,42.5,-76.3692,33.4149,10.9197,10.9197
10608,1,0,0,-65.9865,15.0178,10.6192,10.6192
10608,2,42.5,0,-76.4421,33.6029,10.6192,10.6192
10608,5,0,42.5,-76.4421,33.6029,10.6192,10.6192
10708,1,0,0,-65.6134,14.5928,10.3187,10.3187
10708,2,42.5,0,-76.5164,33.7952,10.3187,10.3187
10708,5,0,42.5,-76.5164,33.7952,10.3187,10.3187
10808,1,0,0,-65.2293,14.1678,10.0182,10.0182
10808,2,42.5,0,-76.5918,33.9917,10.0182,10.0182
10808,5,0,42.5,-76.5918,33.9917,10.0182,10.0182
10908,1,0,0,-64.8335,13.7428,9.71764,9.71764
10908,2,42.5,0,-76.6684,34.1923,9.71764,9.71764
10908,5,0,42.5,-76.6684,34.1923,9.71764,9.71764
11008,1,0,0,-64.4253,13.3178,9.41712,9.41712
11008,2,42.5,0,-76.7461,34.3971,9.41712,9.41712
11008,5,0,42.5,-76.7461,34.3971,9.41712,9.41712
11108,1,0,0,-64.0039,12.8928,9.1166,9.1166
11108,2,42.5,0,-76.8249,34.6058,9.1166,9.1166
11108,5,0,42.5,-76.8249,34.6058,9.1166,9.1166
11208,1,0,0,-63.5684,12.4678,8.81608,8.81608
11208,2,42.5,0,-76.9046,34.8185,8.81608,8.81608
11208,5,0,42.5,-76.9046,34.8185,8.81608,8.81608
11308,1,0,0,-63.1179,12.0428,8.51556,8.51556
11308,2,42.5,0,-76.9853,35.0351,8.51556,8.51556
11308,5,0,42.5,-76.9853,35.0351,8.51556,8.51556
11408,1,0,0,-63.0551,12.0208,8.5,8.5
11408,2,42.5,0,-76.9964,35.0464,8.5,8.5
11408,5,0,42.5,-76.9964,35.0464,8.5,8.5
11508,1,0,0,-63.0551,12.0208,8.5,8.5
11508,2,42.5,0,-76.9964,35.0464,8.5,8.5
11508,5,0,42.5,-76.9964,35.0464,8.5,8.5
11608,1,0,0,-63.0551,12.0208,8.5,8.5
11608,2,42.5,0,-76.9964,35.0464,8.5,8.5
11608,5,0,42.5,-76.9964,35.0464,8.5,8.5
11708,1,0,0,-63.0551,12.0208,8.5,8.5
11708,2,42.5,0,-76.9964,35.0464,8.5,8.5
11708,5,0,42.5,-76.9964,35.0464,8.5,8.5
11808,1,0,0,-63.0551,12.0208,8.5,8.5
11808,2,42.5,0,-76.9964,35.0464,8.5,8.5
11808,5,0,42.5,-76.9964,35.0464,8.5,8.5
11908,1,0,0,-63.0551,12.0208,8.5,8.5
11908,2,42.5,0,-76.9964,35.0464,8.5,8.5
11908,5,0,42.5,-76.9964,35.0464,8.5,8.5
12008,1,0,0,-63.0553,12.0465,8.53625,8.5
12008,2,42.5,0,-76.9963,35.0112,8.53625,8.5
12008,5,0,42.5,-76.9964,35.0552,8.53625,8.5
12108,1,0,0,-63.3809,12.3513,8.96125,8.5
12108,2,42.5,0,-76.8422,34.5991,8.96125,8.5
12108,5,0,42.5,-77.0356,35.1611,8.96125,8.5
12208,1,0,0,-63.7057,12.663,9.38625,8.5
12208,2,42.5,0,-76.6863,34.1873,9.38625,8.5
12208,5,0,42.5,-77.0764,35.2718,9.38625,8.5
12308,1,0,0,-64.0292,12.9812,9.81125,8.5
12308,2,42.5,0,-76.5287,33.7758,9.81125,8.5
12308,5,0,42.5,-77.1188,35.3873,9.81125,8.5
12408,1,0,0,-64.3507,13.3053,10.2363,8.5
12408,2,42.5,0,-76.3693,33.3646,10.2363,8.5
12408,5,0,42.5,-77.1629,35.5075,10.2363,8.5
12508,1,0,0,-64.6698,13.635,10.6613,8.5
12508,2,42.5,0,-76.208,32.9538,10.6613,8.5
12508,5,0,42.5,-77.2085,35.6323,10.6613,8.5
12608,1,0,0,-64.9861,13.9698,11.0863,8.5
12608,2,42.5,0,-76.0449,32.5434,11.0863,8.5
12608,5,0,42.5,-77.2556,35.7618,11.0863,8.5
12708,1,0,0,-65.2993,14.3094,11.5113,8.5
12708,2,42.5,0,-75.8799,32.1334,11.5113,8.5
12708,5,0,42.5,-77.3042,35.8958,11.5113,8.5
12808,1,0,0,-65.6092,14.6535,11.9363,8.5
12808,2,42.5,0,-75.7129,31.7237,11.9363,8.5
12808,5,0,42.5,-77.3543,36.0343,11.9363,8.5
12908,1,0,0,-65.9155,15.0017,12.3613,8.5
12908,2,42.5,0,-75.5439,31.3144,12.3613,8.5
12908,5,0,42.5,-77.4058,36.1773,12.3613,8.5
13008,1,0,0,-66.2181,15.3538,12.7863,8.5
13008,2,42.5,0,-75.3728,30.9056,12.7863,8.5
13008,5,0,42.5,-77.4586,36.3248,12.7863,8.5
13108,1,0,0,-66.5168,15.7095,13.2113,8.5
13108,2,42.5,0,-75.1997,30.4972,13.2113,8.5
13108,5,0,42.5,-77.5128,36.4765,13.2113,8.5
13208,1,0,0,-66.8116,16.0685,13.6363,8.5
13208,2,42.5,0,-75.0244,30.0893,13.6363,8.5
13208,5,0,42.5,-77.5684,36.6326,13.6363,8.5
13308,1,0,0,-67.1023,16.4307,14.0613,8.5
13308,2,42.5,0,-74.847,29.6819,14.0613,8.5
13308,5,0,42.5,-77.6252,36.7929,14.0613,8.5
13408,1,0,0,-67.3891,16.7959,14.4863,8.5
13408,2,42.5,0,-74.6673,29.2749,14.4863,8.5
13408,5,0,42.5,-77.6832,36.9574,14.4863,8.5
13508,1,0,0,-67.6717,17.1638,14.9113,8.5
13508,2,42.5,0,-74.4854,28.8685,14.9113,8.5
13508,5,0,42.5,-77.7424,37.1261,14.9113,8.5
13608,1,0,0,-67.9503,17.5343,15.3363,8.5
13608,2,42.5,0,-74.3011,28.4626,15.3363,8.5
13608,5,0,42.5,-77.8028,37.2988,15.3363,8.5
13708,1,0,0,-68.2248,17.9072,15.7613,8.5
13708,2,42.5,0,-74.1144,28.0573,15.7613,8.5
